Ron_ohm,ODT_ohm,trace_length_mm,C_decap_nF,overshoot_pct,undershoot_pct,prop_delay_ps,eye_height_mV,SSN_mV,transition_pp_mV,setup_margin_ps,rise_time_ps,analysis_pass
28.0,80.0,25.0,4700.0,0.0,26.2671,152.6849,343.3799,104.7986,270.3255,53.8595,48.531,0
28.0,80.0,25.0,680.0,0.0,26.2662,152.6859,343.3701,104.7985,270.3245,53.8597,48.5306,0
28.0,80.0,5.0,100.0,0.0,22.954,42.6199,285.4835,118.9887,266.0888,55.19,45.8701,0
28.0,80.0,5.0,1000.0,0.0,22.9588,42.6135,285.5521,118.9898,266.0961,55.1894,45.8713,0
28.0,80.0,5.0,220.0,0.0,22.9569,42.6161,285.5251,118.9894,266.0932,55.1896,45.8708,0
28.0,80.0,5.0,2200.0,0.0,22.9591,42.6132,285.5563,118.9899,266.0966,55.1893,45.8714,0
28.0,80.0,5.0,47.0,0.0,22.9479,42.628,285.3976,118.9873,266.0796,55.1907,45.8685,0
28.0,80.0,5.0,470.0,0.0,22.9582,42.6143,285.5436,118.9897,266.0952,55.1894,45.8711,0
28.0,80.0,5.0,4700.0,0.0,22.9592,42.613,285.5581,118.9899,266.0968,55.1893,45.8714,0
28.0,80.0,5.0,680.0,0.0,22.9586,42.6139,285.5485,118.9898,266.0958,55.1894,45.8712,0
30.0,120.0,10.0,100.0,0.0,31.9943,68.7609,368.5332,108.0413,277.3127,55.1499,45.9501,0
30.0,120.0,10.0,1000.0,0.0,32.004,68.7519,368.6188,108.0414,277.32,55.1456,45.9587,0
30.0,120.0,10.0,220.0,0.0,32.0002,68.7554,368.5854,108.0413,277.3171,55.1473,45.9553,0
30.0,120.0,10.0,2200.0,0.0,32.0046,68.7514,368.6239,108.0414,277.3205,55.1454,45.9592,0
30.0,120.0,10.0,47.0,0.0,31.982,68.7723,368.4245,108.0411,277.3034,55.1553,45.9393,0
30.0,120.0,10.0,470.0,0.0,32.0028,68.7531,368.6081,108.0414,277.3191,55.1462,45.9577,0
30.0,120.0,10.0,4700.0,0.0,32.0049,68.7512,368.6262,108.0414,277.3207,55.1453,45.9595,0
30.0,120.0,10.0,680.0,0.0,32.0035,68.7524,368.6144,108.0414,277.3196,55.1459,45.9583,0
30.0,120.0,15.0,100.0,0.0,27.1148,98.4794,284.473,108.5855,285.2775,56.9206,42.4088,0
30.0,120.0,15.0,1000.0,0.0,27.117,98.478,284.5002,108.5868,285.2851,56.9207,42.4085,0
30.0,120.0,15.0,220.0,0.0,27.1161,98.4786,284.4895,108.5863,285.2821,56.9207,42.4086,0
30.0,120.0,15.0,2200.0,0.0,27.1171,98.4779,284.5018,108.5869,285.2856,56.9207,42.4085,0
30.0,120.0,15.0,47.0,0.0,27.1121,98.4814,284.4365,108.5839,285.2679,56.9205,42.409,0
30.0,120.0,15.0,470.0,0.0,27.1167,98.4782,284.4968,108.5867,285.2841,56.9207,42.4086,0
30.0,120.0,15.0,4700.0,0.0,27.1172,98.4779,284.5025,108.5869,285.2858,56.9207,42.4085,0
30.0,120.0,15.0,680.0,0.0,27.1169,98.4781,284.4988,108.5867,285.2847,56.9207,42.4086,0
30.0,120.0,20.0,100.0,0.0,29.8826,124.7461,319.6041,130.5788,292.8838,54.6063,47.0374,0
30.0,120.0,20.0,1000.0,0.0,29.8921,124.7372,319.7205,130.5797,292.8916,54.6045,47.041,0
30.0,120.0,20.0,220.0,0.0,29.8883,124.7407,319.675,130.5793,292.8885,54.6052,47.0396,0
30.0,120.0,20.0,2200.0,0.0,29.8927,124.7366,319.7275,130.5797,292.8921,54.6044,47.0412,0
30.0,120.0,20.0,47.0,0.0,29.8706,124.7577,319.4532,130.5776,292.8739,54.6085,47.0329,0
30.0,120.0,20.0,470.0,0.0,29.8909,124.7383,319.706,130.5796,292.8907,54.6047,47.0406,0
30.0,120.0,20.0,4700.0,0.0,29.8929,124.7364,319.7305,130.5798,292.8923,54.6043,47.0413,0
30.0,120.0,20.0,680.0,0.0,29.8916,124.7376,319.7144,130.5796,292.8912,54.6046,47.0408,0
30.0,120.0,25.0,100.0,0.0,30.4577,153.5719,340.821,120.898,288.8487,54.3922,47.4656,0
30.0,120.0,25.0,1000.0,0.0,30.4696,153.561,340.9392,120.8987,288.8565,54.3885,47.4731,0
30.0,120.0,25.0,220.0,0.0,30.4649,153.5653,340.8926,120.8984,288.8534,54.3899,47.4701,0
30.0,120.0,25.0,2200.0,0.0,30.4703,153.5603,340.9464,120.8987,288.8569,54.3882,47.4735,0
30.0,120.0,25.0,47.0,0.0,30.4429,153.5855,340.6729,120.8972,288.8391,54.3969,47.4563,0
30.0,120.0,25.0,470.0,0.0,30.4681,153.5623,340.9244,120.8986,288.8555,54.3889,47.4721,0
30.0,120.0,25.0,4700.0,0.0,30.4706,153.56,340.9496,120.8987,288.8571,54.3881,47.4737,0
30.0,120.0,25.0,680.0,0.0,30.469,153.5616,340.933,120.8986,288.8561,54.3887,47.4727,0
30.0,120.0,5.0,100.0,0.0,28.5225,43.2105,285.6105,135.9926,280.1108,54.8375,46.5751,0
30.0,120.0,5.0,1000.0,0.0,28.5274,43.2043,285.6902,135.994,280.1185,54.8368,46.5763,0
30.0,120.0,5.0,220.0,0.0,28.5255,43.2067,285.6588,135.9935,280.1155,54.8371,46.5758,0
